Timestep;EOM_price;CM_price;TotalCapOffer;Gen_B_Baseload;new_Capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_MidMerit;new_Capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_PV;new_Capacity_Gen_B_PV;Capacity_Gen_B_PV;Gen_B_Peak;new_Capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_Capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager;ENS_Cons_B
1.0;84.68;70000.0;15468.46;6980.94;6980.94;6980.94;927.57;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;343.75;0.0;5315.0;8108.43;7790.69;317.74;15468.46;-143.83;0.0;0.0
2.0;74.87;70000.0;15468.46;6859.3;6980.94;6980.94;621.07;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;392.18;0.0;5315.0;7743.26;7439.1;304.16;15468.46;-129.29;0.0;0.0
3.0;72.69;70000.0;15468.46;6585.81;6980.94;6980.94;552.7;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;441.85;0.0;5315.0;7397.09;7106.37;290.72;15468.46;-183.27;0.0;0.0
4.0;71.43;70000.0;15468.46;6429.02;6980.94;6980.94;513.51;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;495.66;0.0;5315.0;7266.42;6980.75;285.67;15468.46;-171.77;0.0;0.0
5.0;71.3;70000.0;15468.46;6412.11;6980.94;6980.94;509.28;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;568.44;0.0;5315.0;7241.66;6956.95;284.71;15468.46;-248.17;0.0;0.0
6.0;73.26;70000.0;15468.46;6657.77;6980.94;6980.94;570.69;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;672.95;0.0;5315.0;7465.38;7172.02;293.36;15468.46;-436.03;0.0;0.0
7.0;88.77;70000.0;15468.46;6980.94;6980.94;6980.94;1055.43;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;774.07;0.0;5315.0;7850.58;7543.26;307.33;15468.46;-959.85;0.0;0.0
8.0;115.88;70000.0;15468.46;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;11.67;0.0;8788.0;323.48;6973.47;6973.47;833.72;0.0;5315.0;8129.57;7813.44;316.13;15468.46;-1534.29;0.0;0.0
9.0;129.25;70000.0;15468.46;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;115.59;0.0;8788.0;490.62;6973.47;6973.47;871.58;0.0;5315.0;8393.22;8067.92;325.3;15468.46;-1579.56;0.0;0.0
10.0;97.11;70000.0;15468.46;6980.94;6980.94;6980.94;1315.88;1514.05;1514.05;304.18;0.0;8788.0;88.85;6973.47;6973.47;879.49;0.0;5315.0;8999.25;8647.68;351.57;15468.46;-570.09;0.0;0.0
11.0;74.44;70000.0;15468.46;6805.46;6980.94;6980.94;607.61;1514.05;1514.05;514.37;0.0;8788.0;0.0;6973.47;6973.47;864.88;0.0;5315.0;9383.6;9014.97;368.63;15468.46;591.28;0.0;0.0
12.0;360.23;70000.0;15468.46;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;3377.9;6973.47;6973.47;531.55;0.0;5315.0;11956.78;11520.01;436.77;15468.46;-447.66;0.0;0.0
13.0;67.22;70000.0;15468.46;5902.82;6980.94;6980.94;381.96;1514.05;1514.05;733.7;0.0;8788.0;0.0;6973.47;6973.47;864.41;0.0;5315.0;9518.83;9144.22;374.61;15468.46;1635.94;0.0;0.0
14.0;67.37;70000.0;15468.46;5921.05;6980.94;6980.94;386.51;1514.05;1514.05;662.48;0.0;8788.0;0.0;6973.47;6973.47;865.5;0.0;5315.0;9454.79;9082.72;372.07;15468.46;1619.25;0.0;0.0
15.0;70.52;70000.0;15468.46;6314.81;6980.94;6980.94;484.95;1514.05;1514.05;470.32;0.0;8788.0;0.0;6973.47;6973.47;862.32;0.0;5315.0;9281.71;8916.73;364.98;15468.46;1149.3;0.0;0.0
16.0;80.8;70000.0;15468.46;6980.94;6980.94;6980.94;806.35;1514.05;1514.05;213.8;0.0;8788.0;0.0;6973.47;6973.47;878.55;0.0;5315.0;9084.57;8728.24;356.33;15468.46;204.93;0.0;0.0
17.0;121.31;70000.0;15468.46;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;31.11;0.0;8788.0;391.36;6973.47;6973.47;934.42;0.0;5315.0;9231.12;8872.64;358.48;15468.46;-620.76;0.0;0.0
18.0;531.18;70000.0;15468.46;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;5514.75;6973.47;6973.47;531.55;0.0;5315.0;12930.96;12480.01;450.95;15468.46;-1610.33;0.0;0.0
19.0;531.18;70000.0;15468.46;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;5514.75;6973.47;6973.47;531.55;0.0;5315.0;15915.02;15360.01;555.01;15468.46;1373.73;0.0;0.0
20.0;135.49;70000.0;15468.46;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;8788.0;568.67;6973.47;6973.47;1001.65;0.0;5315.0;9859.91;9478.36;381.55;15468.46;-205.4;0.0;0.0
21.0;99.4;70000.0;15468.46;6980.94;6980.94;6980.94;1387.62;1514.05;1514.05;0.0;0.0;8788.0;117.55;6973.47;6973.47;973.09;0.0;5315.0;9400.82;9033.76;367.05;15468.46;-58.38;0.0;0.0
22.0;85.53;70000.0;15468.46;6980.94;6980.94;6980.94;954.09;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;924.74;0.0;5315.0;9059.13;8704.21;354.92;15468.46;199.36;0.0;0.0
23.0;74.39;70000.0;15468.46;6798.31;6980.94;6980.94;605.83;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;878.82;0.0;5315.0;8833.02;8486.01;347.01;15468.46;550.07;0.0;0.0
24.0;70.69;70000.0;15468.46;6336.01;6980.94;6980.94;490.25;1514.05;1514.05;0.0;0.0;8788.0;0.0;6973.47;6973.47;841.54;0.0;5315.0;8598.65;8260.55;338.11;15468.46;930.85;0.0;0.0
