Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
1;86.77225889677733;0.0;0.0;0.0;0.0;992.9432831049933;1300.853014155506;1300.853014155506;6633.239177114306;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;886.0567338000001;0.0;13700.0;0.0;0.0;15403.0;-8734.98688583556;-6994.058400000001;-1740.9284858355595;0.0;0.0;222.75028080093062;0.0
2;75.08687818210132;0.0;0.0;0.0;0.0;627.7706030615705;1300.853014155506;1300.853014155506;6633.239177102525;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;1010.8928189000001;0.0;13700.0;0.0;0.0;15403.0;-8537.02850759675;-6834.7548;-1702.2737075967493;0.0;0.0;265.1283082387245;0.0
3;72.09316117069298;0.0;0.0;0.0;0.0;534.1718893096294;1300.853014155506;1300.853014155506;6511.971964538948;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;1138.9221822;0.0;13700.0;0.0;0.0;15403.0;-8563.104635746673;-6855.4259999999995;-1707.6786357466735;0.0;0.0;378.0390530661054;0.0
4;70.50540967925184;0.0;0.0;0.0;0.0;484.5599498214482;1300.853014155506;1300.853014155506;6313.650190916745;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;1277.6298324;0.0;13700.0;0.0;0.0;15403.0;-8729.596823109556;-6988.6048;-1740.992023109555;0.0;0.0;653.757532565781;0.0
5;70.20079899152206;0.0;0.0;0.0;0.0;475.047161192341;1300.853014155506;1300.853014155506;6275.76166224115;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;1465.214178;0.0;13700.0;0.0;0.0;15403.0;-9188.192289718803;-7355.717600000001;-1832.474689718802;0.0;0.0;972.1702411685291;0.0
6;72.13905282058809;0.0;0.0;0.0;0.0;535.6239539437258;1300.853014155506;1300.853014155506;6518.238927531617;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;1734.5955107;0.0;13700.0;0.0;0.0;15403.0;-10066.579330101651;-8059.0772;-2007.5021301016513;0.0;0.0;1278.1221628787223;0.0
7;86.70779978563;0.0;0.0;0.0;0.0;990.928926956753;1300.853014155506;1300.853014155506;6633.239177114295;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;1995.2434359;0.0;13700.0;0.0;0.0;15403.0;-11847.287081896327;-9486.0548;-2361.2322818963275;0.0;0.0;2227.87813052983;0.0
8;118.8150983333277;0.0;0.0;0.0;0.0;1300.8530141562626;1300.853014155506;1300.853014155506;6633.239177114296;6633.239177114357;6633.239177114357;470.4148586979744;10267.09651453322;10267.09651453322;2149.0095644;0.0;13700.0;20.447852172;0.0;15403.0;-13000.059613196887;-10412.4192;-2587.6404131968875;0.0;0.0;2426.0977925465054;0.0
9;133.51250783065265;0.0;0.0;0.0;0.0;1300.853014156135;1300.853014155506;1300.853014155506;6633.239177114296;6633.239177114357;6633.239177114357;837.8500980710318;10267.09651453322;10267.09651453322;2246.6039803999997;0.0;13700.0;202.589528606;0.0;15403.0;-13591.22527650671;-10887.5164;-2703.7088765067097;0.0;0.0;2370.09212418811;0.0
10;109.27840495649285;0.0;0.0;0.0;0.0;1300.8530141560782;1300.853014155506;1300.853014155506;6633.239177114296;6633.239177114357;6633.239177114357;231.99752707260618;10267.09651453322;10267.09651453322;2266.9740994;0.0;13700.0;533.144624314;0.0;15403.0;-13736.075536478545;-11000.882000000001;-2735.193536478543;0.0;0.0;2769.869740507479;0.0
11;79.88767549245448;0.0;0.0;0.0;0.0;777.8000462528381;1300.853014155506;1300.853014155506;6633.239177114293;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2229.3351441;0.0;13700.0;901.557444467;0.0;15403.0;-13900.332490877716;-11129.1568;-2771.175690877716;0.0;0.0;3358.4032676954585;0.0
12;7927.555905910653;0.0;0.0;0.0;0.0;1300.8530141561725;1300.853014155506;1300.853014155506;6633.239177114297;6633.239177114357;6633.239177114357;10267.096514533214;10267.09651453322;10267.09651453322;1370.137;0.0;13700.0;0.0;0.0;15403.0;-17493.773653930508;-15200.008;-2293.7656539305076;0.0;0.0;-2077.545333679836;0.0
13;70.20296226365623;0.0;0.0;0.0;0.0;475.1630982219236;1300.853014155506;1300.853014155506;6277.5019609653955;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2228.119228;0.0;13700.0;1285.980651119;0.0;15403.0;-13871.909692291789;-11105.324;-2766.585692291788;0.0;0.0;3605.1477771785103;0.0
14;70.32136000240031;0.0;0.0;0.0;0.0;478.8611480629774;1300.853014155506;1300.853014155506;6292.251959135594;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2230.9175352;0.0;13700.0;1161.147561321;0.0;15403.0;-13778.008823153134;-11030.1636;-2747.8452231531337;0.0;0.0;3614.8335608099906;0.0
15;72.45808501300455;0.0;0.0;0.0;0.0;545.6203234042913;1300.853014155506;1300.853014155506;6558.945984571184;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2222.7375803;0.0;13700.0;824.351508879;0.0;15403.0;-13482.334893989997;-10793.688800000002;-2688.646093989995;0.0;0.0;3330.6818584140815;0.0
16;79.93792235422885;0.0;0.0;0.0;0.0;779.3702641788924;1300.853014155506;1300.853014155506;6633.239177114293;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2264.5532682999997;0.0;13700.0;374.735782459;0.0;15403.0;-13421.630964703929;-10745.894800000002;-2675.736164703926;0.0;0.0;3369.7350615559426;0.0
17;108.1178851481346;0.0;0.0;0.0;0.0;1300.8530141561764;1300.853014155506;1300.853014155506;6633.239177114296;6633.239177114357;6633.239177114357;202.98453826819156;10267.09651453322;10267.09651453322;2408.5720523;0.0;13700.0;54.526096298;0.0;15403.0;-13436.372176672101;-10760.732000000002;-2675.640176672099;0.0;0.0;2836.199945076075;0.0
18;9547.661198011943;0.0;0.0;0.0;0.0;1300.8530141556432;1300.853014155506;1300.853014155506;6633.239177114311;6633.239177114357;6633.239177114357;10267.096514533216;10267.09651453322;10267.09651453322;1370.137;0.0;13700.0;0.0;0.0;15403.0;-15467.358946017393;-13680.008;-1787.3509460173946;0.0;0.0;-4103.970068467049;0.0
19;14056.834721511575;0.0;0.0;0.0;0.0;1300.8530141556464;1300.853014155506;1300.853014155506;6633.239177114311;6633.239177114357;6633.239177114357;10267.096514533216;10267.09651453322;10267.09651453322;1370.137;0.0;13700.0;0.0;0.0;15403.0;-15555.721472357422;-14480.008;-1075.7134723574209;0.0;0.0;-4015.607724152837;0.0
20;126.10963552696661;0.0;0.0;0.0;0.0;1300.8530141556112;1300.853014155506;1300.853014155506;6633.239177114314;6633.239177114357;6633.239177114357;652.7782997357941;10267.09651453322;10267.09651453322;2581.8623659;0.0;13700.0;0.0;0.0;15403.0;-13360.247187899586;-10701.6936;-2658.5535878995856;0.0;0.0;2191.5169776681155;0.0
21;98.1388154102059;0.0;0.0;0.0;0.0;1300.8530135191231;1300.853014155506;1300.853014155506;6633.239177114313;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2508.2343326;0.0;13700.0;0.0;0.0;15403.0;-12695.808763908564;-10166.6244;-2529.1843639085646;0.0;0.0;2253.4848195272193;0.0
22;80.29625096105723;0.0;0.0;0.0;0.0;790.5680361004099;1300.853014155506;1300.853014155506;6633.239177114311;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2383.617242;0.0;13700.0;0.0;0.0;15403.0;-11930.115884892419;-9551.7624;-2378.3534848924196;0.0;0.0;2122.6940187035825;0.0
23;72.74238584401785;0.0;0.0;0.0;0.0;554.4865967846399;1300.853014155506;1300.853014155506;6593.9220711384905;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2265.2472144;0.0;13700.0;0.0;0.0;15403.0;-11226.943819067128;-8988.093200000001;-2238.8506190671264;0.0;0.0;1813.2895236766042;0.0
24;69.39010867437409;0.0;0.0;0.0;0.0;449.72514103339654;1300.853014155506;1300.853014155506;6174.79983943168;6633.239177114357;6633.239177114357;0.0;10267.09651453322;10267.09651453322;2169.1587024;0.0;13700.0;0.0;0.0;15403.0;-10447.273601034027;-8363.6224;-2083.651201034027;0.0;0.0;1653.591385878984;0.0
