Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
1;86.7519084020235;0.0;0.0;0.0;0.0;992.2340960797616;1424.4826973408676;1424.4826973408676;6851.5525434056;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;424.55263299999996;0.0;5315.0;0.0;0.0;8788.0;-8108.262315167399;-6492.242;-1616.0203151673984;0.0;0.0;-160.07856012835376;0.0
2;75.06660267092867;0.0;0.0;0.0;0.0;627.0660302045337;1424.4826973408676;1424.4826973408676;6851.552543369103;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;590.04391712;0.0;5315.0;0.0;0.0;8788.0;-7743.24553638719;-6199.25;-1543.9955363871902;0.0;0.0;-325.41883586729784;0.0
3;72.08905501265154;0.0;0.0;0.0;0.0;534.0288016702249;1424.4826973408676;1424.4826973408676;6511.022577770985;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;805.7575504199999;0.0;5315.0;0.0;0.0;8788.0;-7397.133627863409;-5921.976000000001;-1475.1576278634084;0.0;0.0;-453.67581189944303;0.0
4;70.50021489383755;0.0;0.0;0.0;0.0;484.378652511504;1424.4826973408676;1424.4826973408676;6312.448891454333;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1017.8963785;0.0;5315.0;0.0;0.0;8788.0;-7266.488494733908;-5817.292;-1449.1964947339077;0.0;0.0;-548.2358049299266;0.0
5;70.19354014530602;0.0;0.0;0.0;0.0;474.7938309877932;1424.4826973408676;1424.4826973408676;6274.0830595020225;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1277.357707705;0.0;5315.0;0.0;0.0;8788.0;-7241.738195495056;-5797.46;-1444.2781954950563;0.0;0.0;-784.4969320304984;0.0
6;72.12936107461566;0.0;0.0;0.0;0.0;535.2858362319404;1424.4826973408676;1424.4826973408676;6515.9978395752405;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1485.4467449600002;0.0;5315.0;0.0;0.0;8788.0;-7465.468815832194;-5976.686000000001;-1488.7828158321938;0.0;0.0;-1071.2624278437772;0.0
7;86.68744745705672;0.0;0.0;0.0;0.0;990.2196826132823;1424.4826973408676;1424.4826973408676;6851.55254340521;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;1671.11196198;0.0;5315.0;0.0;0.0;8788.0;-7850.748476916227;-6286.048000000001;-1564.7004769162265;0.0;0.0;-1662.137315005871;0.0
8;118.79254619202304;0.0;0.0;0.0;0.0;1424.4826973387032;1424.4826973408676;1424.4826973408676;6851.552543405211;6851.552543405054;6851.552543405054;313.20508202959155;3884.384028091512;3884.384028091512;1879.6509777649999;0.0;5315.0;0.5422195999999999;0.0;8788.0;-8129.336462005174;-6511.204000000001;-1618.1324620051735;0.0;0.0;-2340.099189662236;0.0
9;133.48995520485624;0.0;0.0;0.0;0.0;1424.4826973386425;1424.4826973408676;1424.4826973408676;6851.552543405211;6851.552543405054;6851.552543405054;558.161899076931;3884.384028091512;3884.384028091512;1953.072111385;0.0;5315.0;284.89188858;0.0;8788.0;-8392.8638871003;-6723.2660000000005;-1669.597887100299;0.0;0.0;-2679.2993841244906;0.0
10;109.25585209588917;0.0;0.0;0.0;0.0;1424.4826973358718;1424.4826973408676;1424.4826973408676;6851.552543405211;6851.552543405054;6851.552543405054;154.2601806359959;3884.384028091512;3884.384028091512;1952.122161435;0.0;5315.0;1192.60779196;0.0;8788.0;-8998.160722688584;-7206.402000000001;-1791.758722688583;0.0;0.0;-2576.86678350174;0.0
11;79.86732153804378;0.0;0.0;0.0;0.0;777.0907458646749;1424.4826973408676;1424.4826973408676;6851.55254340521;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;2001.56955704;0.0;5315.0;2332.255343444;0.0;8788.0;-9383.094977475475;-7512.476;-1870.6189774754762;0.0;0.0;-2579.3748164231574;0.0
12;7927.536034318868;0.0;0.0;0.0;0.0;1424.4826973380725;1424.4826973408676;1424.4826973408676;6851.552543405207;6851.552543405054;6851.552543405054;3884.384028091511;3884.384028091512;3884.384028091512;531.55315;0.0;5315.0;882.985821068;0.0;8788.0;-13258.444033652257;-11520.008000000002;-1738.4360336522557;0.0;0.0;-316.5087483877287;0.0
13;70.17817069352174;0.0;0.0;0.0;0.0;474.2984738353699;1424.4826973408676;1424.4826973408676;6271.769794579979;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;2309.578330105;0.0;5315.0;3377.281400428;0.0;8788.0;-9518.545359089167;-7620.184;-1898.3613590891669;0.0;0.0;-2914.385015076381;0.0
14;70.29680409683047;0.0;0.0;0.0;0.0;478.0048758814568;1424.4826973408676;1424.4826973408676;6286.57437242971;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;2473.819675045;0.0;5315.0;3304.9504042880003;0.0;8788.0;-9454.51159605211;-7568.93;-1885.5815960521104;0.0;0.0;-3088.840214673822;0.0
15;72.43761661201073;0.0;0.0;0.0;0.0;544.9068100367953;1424.4826973408676;1424.4826973408676;6554.213619379938;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;2667.884452315;0.0;5315.0;2613.375070904;0.0;8788.0;-9281.531797601117;-7430.608;-1850.9237976011166;0.0;0.0;-3098.8504464362886;0.0
16;79.91756870270545;0.0;0.0;0.0;0.0;778.6609724079506;1424.4826973408676;1424.4826973408676;6851.55254340521;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;2822.4763084549995;0.0;5315.0;1431.583804196;0.0;8788.0;-9084.653952948584;-7273.536;-1811.1179529485837;0.0;0.0;-2799.621279328406;0.0
17;108.09533224755047;0.0;0.0;0.0;0.0;1424.4826973138784;1424.4826973408676;1424.4826973408676;6851.552543405211;6851.552543405054;6851.552543405054;134.91818451513475;3884.384028091512;3884.384028091512;2929.87065101;0.0;5315.0;307.25238336;0.0;8788.0;-9232.34196236698;-7393.866000000001;-1838.475962366979;0.0;0.0;-2415.7366279352455;0.0
18;13717.733647325442;0.0;0.0;0.0;0.0;1424.4826973406493;1424.4826973408676;1424.4826973408676;6851.552543405805;6851.552543405054;6851.552543405054;3884.3840280915115;3884.384028091512;3884.384028091512;531.55315;0.0;5315.0;0.0050003719999999995;0.0;8788.0;-12424.65498301169;-11520.008000000002;-904.6469830116883;0.0;0.0;-267.32243619776114;0.0
19;14353.918974158181;0.0;0.0;0.0;0.0;1424.4826973406498;1424.4826973408676;1424.4826973408676;6851.552543405805;6851.552543405054;6851.552543405054;3884.3840280915115;3884.384028091512;3884.384028091512;531.55315;0.0;5315.0;0.0;0.0;8788.0;-13703.381528742702;-12800.008000000002;-903.3735287427004;0.0;0.0;1011.4091099052333;0.0
20;126.08708248960677;0.0;0.0;0.0;0.0;1424.482697341249;1424.4826973408676;1424.4826973408676;6851.552543405798;6851.552543405054;6851.552543405054;434.780688885163;3884.384028091512;3884.384028091512;3184.90721614;0.0;5315.0;0.0;0.0;8788.0;-9860.8385517285;-7898.630000000001;-1962.208551728499;0.0;0.0;-2034.8867245601607;0.0
21;98.11841893105807;0.0;0.0;0.0;0.0;1347.437281850066;1424.4826973408676;1424.4826973408676;6851.552543405798;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;3260.153249695;0.0;5315.0;0.0;0.0;8788.0;-9400.93688402985;-7528.136;-1872.8008840298492;0.0;0.0;-2058.2078263770395;0.0
22;80.27589823303944;0.0;0.0;0.0;0.0;789.8587738984345;1424.4826973408676;1424.4826973408676;6851.552543405797;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;3343.848841705;0.0;5315.0;0.0;0.0;8788.0;-9059.60397300918;-7253.506;-1806.0979730091792;0.0;0.0;-1925.6577893558836;0.0
23;72.729108724698;0.0;0.0;0.0;0.0;554.023625957578;1424.4826973408676;1424.4826973408676;6590.852153828185;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;3435.394019025;0.0;5315.0;0.0;0.0;8788.0;-8833.168534900326;-7071.678;-1761.4905349003263;0.0;0.0;-1747.1026151588298;0.0
24;69.3780022873869;0.0;0.0;0.0;0.0;449.3029407736754;1424.4826973408676;1424.4826973408676;6172.000545188095;6851.552543405054;6851.552543405054;0.0;3884.384028091512;3884.384028091512;3506.86525454;0.0;5315.0;0.0;0.0;8788.0;-8598.765202818826;-6883.7880000000005;-1714.9772028188245;0.0;0.0;-1529.404718963807;0.0
